"","C_ven_1.1","C_ven_1.2","C_ven_1.3","C_ven_1.4"
"66",0.000252748,0.000261404,0.000225789,0.000145277
"67",0.000255135,0.000266941,0.000231383,0.000155702
"68",0.000250683,0.000260297,0.000223594,0.000149069
"69",0.000252079,0.000257284,0.000221177,0.000141921
"70",0.00028442,0.00029375,0.000241332,0.000151861
"71",0.000281955,0.000293666,0.000248946,0.00015585
"72",0.000259379,0.000268056,0.000227086,0.000140319
"73",0.000240632,0.000246582,0.000209596,0.000128676
"74",0.000268012,0.000282578,0.000240274,0.000154855
"75",0.000271379,0.000284013,0.000237367,0.000146552
"76",0.000263703,0.000276872,0.000236218,0.000148541
"77",0.000262532,0.000274253,0.000241413,0.000154974
"78",0.000266,0.000264859,0.000229213,0.000146468
"79",0.000255469,0.000254347,0.000221221,0.00014369
"80",0.000262239,0.000260992,0.000225825,0.000145989
"81",0.000242399,0.000242786,0.000207833,0.00012972
"82",0.000268198,0.000272956,0.00023313,0.000143073
"83",0.000260295,0.000270957,0.000233911,0.000145677
"84",0.000252544,0.000262295,0.000225269,0.000139635
"85",0.000235305,0.00024223,0.000206816,0.00012586
"86",0.00025626,0.000261086,0.000222875,0.000140434
"87",0.00026045,0.000263525,0.000219296,0.000131289
"88",0.000260942,0.000266706,0.000222858,0.000132467
"89",0.000275102,0.000286906,0.000236944,0.000139819
"90",0.000278973,0.000292146,0.00024283,0.000144725
"91",0.000251401,0.000263078,0.000214358,0.000125151
"92",0.000244969,0.000259408,0.000222672,0.000140251
"93",0.000236271,0.000251652,0.000227332,0.000151806
"94",0.000249221,0.000262682,0.000227348,0.000139167
"95",0.000258273,0.000275926,0.000239111,0.000150281
"96",0.000264244,0.000279179,0.000233642,0.000143687
"97",0.000248512,0.0002618,0.000217971,0.000132435
"98",0.00028074,0.000285154,0.000220151,0.000127355
"99",0.000283301,0.000282683,0.000217093,0.000129277
"100",0.000286148,0.00027871,0.000217469,0.000137453
"101",0.000259142,0.000273834,0.000230117,0.000147729
"102",0.000239743,0.000250448,0.000210988,0.000136032
"103",0.000243618,0.000251581,0.000214674,0.000141453
"104",0.00025478,0.000265941,0.000235765,0.000160052
"105",0.000297268,0.000290907,0.000232355,0.000149437
"106",0.000258524,0.000253021,0.000197253,0.000119653
"107",0.000262322,0.000262281,0.000210374,0.000127566
"108",0.000227895,0.000230851,0.000191528,0.000124269
"109",0.000250582,0.000246674,0.000200026,0.00012997
"110",0.000262143,0.000267243,0.000219953,0.000141249
"111",0.00028389,0.000290915,0.000238091,0.000151355
"112",0.000264658,0.000264064,0.00020938,0.000130716
"113",0.000298419,0.000308589,0.000247601,0.00014756
"114",0.00029871,0.000308202,0.000240685,0.000137526
"115",0.00025575,0.000265492,0.000212273,0.000122145
"116",0.000287645,0.000279706,0.000225348,0.000145214
"117",0.000285903,0.000282011,0.000217653,0.000130976
"118",0.000285928,0.000272983,0.000226609,0.000149644
"119",0.000300736,0.000285356,0.000227431,0.000145644
"120",0.000283634,0.000293703,0.000231077,0.000127572
"121",0.000284371,0.000290917,0.000230188,0.000137797
"122",0.000284472,0.000289899,0.000230284,0.000141366
"123",0.000276217,0.000279601,0.000217794,0.00013066
"124",0.000265291,0.000260044,0.000201909,0.000125572
"125",0.00027358,0.000285008,0.000229954,0.000143431
"126",0.000247808,0.000262708,0.000223262,0.000134938
"127",0.000258826,0.000273555,0.00023174,0.000139616
"128",0.000241677,0.00025415,0.000222114,0.000137696
"129",0.000255286,0.000267564,0.000224737,0.000136338
"130",0.000259104,0.000275047,0.000235376,0.000148755
"131",0.000257619,0.000276664,0.000241368,0.000151038
"132",0.000252333,0.00026717,0.000227231,0.000137553
"133",0.000276231,0.000288516,0.000232592,0.000135519
"134",0.000266829,0.000277285,0.000222342,0.00013245
"135",0.000261555,0.000273383,0.000227457,0.000141232
"136",0.000255282,0.000252317,0.000199641,0.000124364
"137",0.000266581,0.000265323,0.00021124,0.000131701
"138",0.00026971,0.000277906,0.000233318,0.000152711
"139",0.000264582,0.000276066,0.000231739,0.000150806
"140",0.000279841,0.000284367,0.000226569,0.000140088
"141",0.000259873,0.000256427,0.000198665,0.000121839
"142",0.000304622,0.000303257,0.00023791,0.000148968
"143",0.000277017,0.000276709,0.000216775,0.000133275
"144",0.000249633,0.000257258,0.000211814,0.000135411
"145",0.000260916,0.000268914,0.000219739,0.000136751
"146",0.000270355,0.000281963,0.000235603,0.000147204
"147",0.000253366,0.00026283,0.000220646,0.000141068
"148",0.000254487,0.000263558,0.000219513,0.000137868
"149",0.000254928,0.000264291,0.000219221,0.00013878
"150",0.000252993,0.000262431,0.000223931,0.000149841
"151",0.00024644,0.000257194,0.000221819,0.000147727
"152",0.00024714,0.000254404,0.000213645,0.00013984
"153",0.000243437,0.000251248,0.000210501,0.000138486
"154",0.000280735,0.000289458,0.000235718,0.000148699
"155",0.000281705,0.00029056,0.000237525,0.000150203
"156",0.000263188,0.000266139,0.000212421,0.000130084
"157",0.000300267,0.0003047,0.000247992,0.000153417
"158",0.000262251,0.000269659,0.000220112,0.000134186
"159",0.000286674,0.000292358,0.000236974,0.000148318
